time,ss_pv_power,ss_pv1_power,ss_pv2_power,ss_load_power,ss_grid_ct_power,ss_battery_power,ss_pv1_voltage,ss_pv2_voltage,ss_day_pv_energy,ss_day_load_energy,ss_day_grid_import,ss_day_grid_export,ss_day_battery_charge,ss_day_battery_discharge,ss_battery_soc,battery_temp
2025-11-14T00:01:00.306637+02:00,0,0,0,623,22,693,0.005,0.895,20.8,21.8,9.6,5.3,8.7,7.2,22.2,8.3
2025-11-14T00:02:00.307169+02:00,0,0,0,645,24,694,0.005,0.895,20.8,21.8,9.6,5.3,8.7,7.2,22.2,8.3
2025-11-14T00:03:00.306819+02:00,0,0,0,659,27,716,0.005,0.895,20.8,21.8,9.6,5.3,8.7,7.2,22.2,8.3
2025-11-14T00:04:00.306883+02:00,0,0,0,629,27,689,0.005,0.895,20.8,21.8,9.6,5.3,8.7,7.2,22.2,8.3
2025-11-14T00:05:00.307704+02:00,0,0,0,660,39,693,0.005,0.895,20.8,21.8,9.6,5.3,8.7,7.2,22.2,8.3
2025-11-14T00:06:00.306210+02:00,0,0,0,646,21,712,0,0.9,0,0,0,0,0,0,22,8.3
2025-11-14T00:07:00.307236+02:00,0,0,0,613,27,667,0,0.9,0,0,0,0,0,0,22,8.3
2025-11-14T00:08:00.308154+02:00,0,0,0,612,14,660,0,0.9,0,0,0,0,0,0,22,8.3
2025-11-14T00:09:00.307884+02:00,0,0,0,613,21,670,0,0.9,0,0,0,0,0,0,22,8.3
2025-11-14T00:10:00.308750+02:00,0,0,0,517,27,579,0,0.9,0,0,0,0,0,0,22,8.3
2025-11-14T00:11:00.307694+02:00,0,0,0,645,25,707,0,0.895,0,0.1,0,0,0,0.1,22,8.3
2025-11-14T00:12:00.308380+02:00,0,0,0,671,27,729,0,0.895,0,0.1,0,0,0,0.1,22,8.3
2025-11-14T00:13:00.307187+02:00,0,0,0,616,25,676,0,0.895,0,0.1,0,0,0,0.1,22,8.3
2025-11-14T00:14:00.307920+02:00,0,0,0,612,32,664,0,0.895,0,0.1,0,0,0,0.1,22,8.3
2025-11-14T00:15:00.307274+02:00,0,0,0,882,11,996,0,0.895,0,0.1,0,0,0,0.1,22,8.3
2025-11-14T00:16:00.308405+02:00,0,0,0,801,-26,930,0,0.895,0,0.1,0,0,0,0.1,21.15,8.215
2025-11-14T00:17:00.307875+02:00,0,0,0,844,41,875,0,0.895,0,0.1,0,0,0,0.1,21.15,8.215
2025-11-14T00:18:00.308818+02:00,0,0,0,901,41,921,0,0.895,0,0.1,0,0,0,0.1,21.15,8.215
2025-11-14T00:19:00.307790+02:00,0,0,0,901,20,1009,0,0.895,0,0.1,0,0,0,0.1,21.15,8.215
2025-11-14T00:20:00.309042+02:00,0,0,0,970,24,996,0,0.895,0,0.1,0,0,0,0.1,21.15,8.215
2025-11-14T00:21:00.308700+02:00,0,0,0,982,36,986,0,0.915,0,0.2,0,0,0,0.2,21,8.2
2025-11-14T00:22:00.308923+02:00,0,0,0,974,16,1036,0,0.915,0,0.2,0,0,0,0.2,21,8.2
2025-11-14T00:23:00.307550+02:00,0,0,0,987,16,1036,0,0.915,0,0.2,0,0,0,0.2,21,8.2
2025-11-14T00:24:00.308760+02:00,0,0,0,871,943,7,0,0.915,0,0.2,0,0,0,0.2,21,8.2
2025-11-14T00:25:00.307286+02:00,0,0,0,853,936,-7,0,0.915,0,0.2,0,0,0,0.2,21,8.2
2025-11-14T00:26:00.308735+02:00,0,0,0,923,992,8,0,0.905,0,0.2,0,0,0,0.2,20.45,8.2
2025-11-14T00:27:00.307405+02:00,0,0,0,923,1021,-3,0,0.905,0,0.2,0,0,0,0.2,20.45,8.2
2025-11-14T00:28:00.307668+02:00,0,0,0,921,995,13,0,0.905,0,0.2,0,0,0,0.2,20.45,8.2
2025-11-14T00:29:00.307248+02:00,0,0,0,915,987,12,0,0.905,0,0.2,0,0,0,0.2,20.45,8.2
2025-11-14T00:30:00.307524+02:00,0,0,0,889,989,-4,0,0.905,0,0.2,0,0,0,0.2,20.45,8.2
2025-11-14T00:31:00.305947+02:00,0,0,0,991,1074,-6,0,0.9,0,0.3,0.1,0,0,0.3,20,8.2
2025-11-14T00:32:00.308869+02:00,0,0,0,1007,1083,-13,0,0.9,0,0.3,0.1,0,0,0.3,20,8.2
2025-11-14T00:33:00.307364+02:00,0,0,0,987,1071,1,0,0.9,0,0.3,0.1,0,0,0.3,20,8.2
