time,ss_pv_power,ss_pv1_power,ss_pv2_power,ss_load_power,ss_grid_ct_power,ss_battery_power,ss_pv1_voltage,ss_pv2_voltage,ss_day_pv_energy,ss_day_load_energy,ss_day_grid_import,ss_day_grid_export,ss_day_battery_charge,ss_day_battery_discharge,ss_battery_soc,battery_temp
2025-11-10T00:01:00.078317+02:00,0,0,0,1067,27,1133,3.125,3.81,20.3,22.3,8.8,1.1,12.5,8.9,33.45,13.455
2025-11-10T00:02:00.079004+02:00,0,0,0,1077,11,1141,3.125,3.81,20.3,22.3,8.8,1.1,12.5,8.9,33.45,13.455
2025-11-10T00:03:00.078267+02:00,0,0,0,1085,40,1107,3.125,3.81,20.3,22.3,8.8,1.1,12.5,8.9,33.45,13.455
2025-11-10T00:04:00.079040+02:00,0,0,0,1086,11,1154,3.125,3.81,20.3,22.3,8.8,1.1,12.5,8.9,33.45,13.455
2025-11-10T00:05:00.079501+02:00,0,0,0,1040,20,1109,3.125,3.81,20.3,22.3,8.8,1.1,12.5,8.9,33.45,13.455
2025-11-10T00:06:00.078727+02:00,0,0,0,959,-10,1038,3.215,3.89,0,0,0,0,0,0,33,13.4
2025-11-10T00:07:00.079401+02:00,0,0,0,954,-4,1017,3.215,3.89,0,0,0,0,0,0,33,13.4
2025-11-10T00:08:00.079788+02:00,0,0,0,993,12,1052,3.215,3.89,0,0,0,0,0,0,33,13.4
2025-11-10T00:09:00.079447+02:00,0,0,0,1062,20,1119,3.215,3.89,0,0,0,0,0,0,33,13.4
2025-11-10T00:10:00.079306+02:00,0,0,0,1108,34,1136,3.215,3.89,0,0,0,0,0,0,33,13.4
2025-11-10T00:11:00.079081+02:00,0,0,0,1138,22,1176,3.47,4.245,0,0.1,0,0,0,0.1,32.35,13.38
2025-11-10T00:12:00.078922+02:00,0,0,0,1112,23,1165,3.47,4.245,0,0.1,0,0,0,0.1,32.35,13.38
2025-11-10T00:13:00.080062+02:00,0,0,0,1102,5,1173,3.47,4.245,0,0.1,0,0,0,0.1,32.35,13.38
2025-11-10T00:14:00.079688+02:00,0,0,0,1103,-1,1189,3.47,4.245,0,0.1,0,0,0,0.1,32.35,13.38
2025-11-10T00:15:00.079631+02:00,0,0,0,1156,40,1171,3.47,4.245,0,0.1,0,0,0,0.1,32.35,13.38
2025-11-10T00:16:00.079269+02:00,0,0,0,1057,12,1121,3.71,4.525,0,0.1,0,0,0,0.1,32,13.3
2025-11-10T00:17:00.079240+02:00,0,0,0,1036,16,1092,3.71,4.525,0,0.1,0,0,0,0.1,32,13.3
2025-11-10T00:18:00.079629+02:00,0,0,0,969,31,1020,3.71,4.525,0,0.1,0,0,0,0.1,32,13.3
2025-11-10T00:19:00.079408+02:00,0,0,0,951,28,1000,3.71,4.525,0,0.1,0,0,0,0.1,32,13.3
2025-11-10T00:20:00.077739+02:00,0,0,0,948,17,1006,3.71,4.525,0,0.1,0,0,0,0.1,32,13.3
2025-11-10T00:21:00.078241+02:00,0,0,0,1047,22,1085,3.615,4.435,0,0.3,0,0,0,0.3,31.25,13.3
2025-11-10T00:22:00.079315+02:00,0,0,0,1037,7,1099,3.615,4.435,0,0.3,0,0,0,0.3,31.25,13.3
2025-11-10T00:23:00.079418+02:00,0,0,0,1077,11,1164,3.615,4.435,0,0.3,0,0,0,0.3,31.25,13.3
2025-11-10T00:24:00.078181+02:00,0,0,0,1017,-1,1106,3.615,4.435,0,0.3,0,0,0,0.3,31.25,13.3
